Ausrichtung,Dachneigung,Solarertrag,Color
-90,0,0.9,red
-90,10,0.9,red
-90,20,0.85,black
-90,30,0.85,black
-90,40,0.8,red
-90,50,0.75,black
-90,60,0.7,red
-90,70,0.65,black
-90,80,0.6,red
-90,90,0.55,black
-80,0,0.9,red
-80,10,0.9,red
-80,20,0.9,red
-80,30,0.85,black
-80,40,0.85,black
-80,50,0.8,red
-80,60,0.75,black
-80,70,0.7,red
-80,80,0.65,black
-80,90,0.55,black
-70,0,0.9,red
-70,10,0.9,red
-70,20,0.9,red
-70,30,0.9,red
-70,40,0.85,black
-70,50,0.85,black
-70,60,0.8,red
-70,70,0.7,red
-70,80,0.65,black
-70,90,0.6,red
-60,0,0.9,red
-60,10,0.9,red
-60,20,0.9,red
-60,30,0.9,red
-60,40,0.9,red
-60,50,0.85,black
-60,60,0.8,red
-60,70,0.75,black
-60,80,0.7,red
-60,90,0.6,red
-50,0,0.9,red
-50,10,0.9,red
-50,20,0.95,black
-50,30,0.95,black
-50,40,0.9,red
-50,50,0.9,red
-50,60,0.85,black
-50,70,0.75,black
-50,80,0.7,red
-50,90,0.6,red
-40,0,0.9,red
-40,10,0.95,black
-40,20,0.95,black
-40,30,0.95,black
-40,40,0.95,black
-40,50,0.9,red
-40,60,0.85,black
-40,70,0.8,red
-40,80,0.7,red
-40,90,0.65,black
-30,0,0.9,red
-30,10,0.95,black
-30,20,0.95,black
-30,30,0.95,black
-30,40,0.95,black
-30,50,0.9,red
-30,60,0.85,black
-30,70,0.8,red
-30,80,0.75,black
-30,90,0.65,black
-20,0,0.9,red
-20,10,0.95,black
-20,20,0.95,black
-20,30,0.95,black
-20,40,0.95,black
-20,50,0.95,black
-20,60,0.9,red
-20,70,0.8,red
-20,80,0.75,black
-20,90,0.65,black
-10,0,0.9,red
-10,10,0.95,black
-10,20,0.95,black
-10,30,1.0,red
-10,40,0.95,black
-10,50,0.95,black
-10,60,0.9,red
-10,70,0.65,black
-10,80,0.6,red
-10,90,0.65,black
0,0,0.9,red
0,10,0.95,black
0,20,0.95,black
0,30,1.0,red
0,40,0.95,black
0,50,0.95,black
0,60,0.9,red
0,70,0.8,red
0,80,0.75,black
0,90,0.65,black
10,0,0.9,red
10,10,0.95,black
10,20,0.95,black
10,30,1.0,red
10,40,0.95,black
10,50,0.95,black
10,60,0.9,red
10,70,0.8,red
10,80,0.75,black
10,90,0.65,black
20,0,0.9,red
20,10,0.95,black
20,20,0.95,black
20,30,0.95,black
20,40,0.95,black
20,50,0.95,black
20,60,0.9,red
20,70,0.8,red
20,80,0.75,black
20,90,0.65,black
30,0,0.9,red
30,10,0.95,black
30,20,0.95,black
30,30,0.95,black
30,40,0.95,black
30,50,0.9,red
30,60,0.85,black
30,70,0.8,red
30,80,0.75,black
30,90,0.65,black
40,0,0.9,red
40,10,0.95,black
40,20,0.95,black
40,30,0.95,black
40,40,0.95,black
40,50,0.9,red
40,60,0.85,black
40,70,0.8,red
40,80,0.7,red
40,90,0.65,black
50,0,0.9,red
50,10,0.9,red
50,20,0.95,black
50,30,0.95,black
50,40,0.9,red
50,50,0.85,black
50,60,0.8,red
50,70,0.75,black
50,80,0.7,red
50,90,0.6,red
60,0,0.9,red
60,10,0.9,red
60,20,0.9,red
60,30,0.9,red
60,40,0.9,red
60,50,0.85,black
60,60,0.8,red
60,70,0.75,black
60,80,0.65,black
60,90,0.6,red
70,0,0.9,red
70,10,0.9,red
70,20,0.9,red
70,30,0.9,red
70,40,0.85,black
70,50,0.8,red
70,60,0.75,black
70,70,0.7,red
70,80,0.65,black
70,90,0.6,red
80,0,0.9,red
80,10,0.9,red
80,20,0.9,red
80,30,0.85,black
80,40,0.85,black
80,50,0.8,red
80,60,0.75,black
80,70,0.8,red
80,80,0.75,black
80,90,0.55,black
90,0,0.9,red
90,10,0.9,red
90,20,0.85,black
90,30,0.85,black
90,40,0.8,red
90,50,0.75,black
90,60,0.7,red
90,70,0.8,red
90,80,0.75,black
90,90,0.55,black
